"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Animalists: The Sloth In Our Stars opening June 20. See more sloths now at http://t.co/c7eMp78g08! #SlothWeek #FaultInOurStars http://t…",FALSE,0,NA,2014-06-16 03:41:54,FALSE,NA,"478381930384093184",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","JasminAyles",20,TRUE,FALSE,NA,NA
"RT @Linocc: Activo @LuiferJ RT @mashable: GUYS, #SlothWeek is coming. http://t.co/bq4gQHqNWs http://t.co/LNUF09S9cb",FALSE,0,NA,2014-06-16 03:05:04,FALSE,NA,"478372660800679936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abreuarturo_",2,TRUE,FALSE,NA,NA
"""@mashable: GUYS, #SlothWeek is coming. http://t.co/rUaxrZz9M8 http://t.co/jPrGcaTXGH""",FALSE,0,NA,2014-06-15 20:41:52,FALSE,NA,"478276223739904000",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","LuisHerrera2908",0,FALSE,FALSE,NA,NA
"RT @catiewayne: I'm not even convinced you guys are ready. #SlothWeek http://t.co/uBgNxQ3MB0",FALSE,0,NA,2014-06-15 10:54:31,FALSE,NA,"478128414550155264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maxxaldousxx",67,TRUE,FALSE,NA,NA
"RT @catiewayne: I'm not even convinced you guys are ready. #SlothWeek http://t.co/uBgNxQ3MB0",FALSE,0,NA,2014-06-15 10:47:36,FALSE,NA,"478126672659906560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wh0remonal_",67,TRUE,FALSE,NA,NA
"RT @catiewayne: I'm not even convinced you guys are ready. #SlothWeek http://t.co/uBgNxQ3MB0",FALSE,0,NA,2014-06-15 10:39:51,FALSE,NA,"478124721608077312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IREALTYLER",67,TRUE,FALSE,NA,NA
"RT @catiewayne: I'm not even convinced you guys are ready. #SlothWeek http://t.co/uBgNxQ3MB0",FALSE,0,NA,2014-06-15 10:38:19,FALSE,NA,"478124338013814784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alex_L_Bevan",67,TRUE,FALSE,NA,NA
"RT @chri5gut: “@mashable: GUYS, #SlothWeek is coming. http://t.co/bZshdjKRRi http://t.co/mK9aay1cN1” #sloth",FALSE,0,NA,2014-06-15 05:39:42,FALSE,NA,"478049187708555264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karher13",2,TRUE,FALSE,NA,NA
"RT @DIRECTVSchools: SLOTH WEEK is coming... six days of the web’s most lovable and slowly rising star. http://t.co/EtZ8eaynxE http://t.co/d…",FALSE,0,NA,2014-06-15 02:27:23,FALSE,NA,"478000790142218240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Carolefully",1,TRUE,FALSE,NA,NA
"Can't wait for June 20 to come!! :-) #slothweek http://t.co/VD6EyZRWSv",FALSE,0,NA,2014-06-14 22:29:22,FALSE,NA,"477940888237522945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kDolgner",0,FALSE,FALSE,NA,NA
"RT @jaXon_Hawks: HA! @caseyjoloos ""#SharkWeek is for chumps"" #SlothWeek",FALSE,0,NA,2014-06-14 19:13:51,FALSE,NA,"477891686245232640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","caseyjoloos",1,TRUE,FALSE,NA,NA
"HA! @caseyjoloos ""#SharkWeek is for chumps"" #SlothWeek",FALSE,1,NA,2014-06-14 18:54:23,FALSE,NA,"477886787675631616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaXon_Hawks",1,FALSE,FALSE,NA,NA
